amount,new_payee,on_call,typing_pause,typing_variance,device_movement,transaction_hour,previous_transactions,fraud
18789.55,1,0,6.03,0.2,0.2,10,74,0
43322.19,0,0,0.3,0.97,0.84,5,1,1
9173.07,0,0,5.3,0.46,0.33,9,91,0
48690.4,0,0,6.22,0.41,0.98,2,50,1
34047.35,0,0,9.43,0.59,0.42,20,1,0
34243.23,0,0,5.0,0.08,0.91,3,49,1
33159.86,0,0,5.51,0.23,0.97,11,33,0
19818.0,1,0,3.33,0.59,0.54,7,84,0
19495.0,0,1,3.63,0.32,0.57,8,28,0
40129.63,0,1,7.75,0.24,0.06,10,80,0
35595.96,1,0,9.27,0.67,0.92,8,71,1
22527.59,0,0,6.72,0.68,0.61,21,90,0
28106.05,0,1,8.5,0.74,0.27,13,26,0
26184.37,0,0,1.17,0.08,0.65,19,95,0
34806.25,0,0,5.44,0.24,0.95,6,58,0
34769.77,1,0,3.03,0.15,0.48,11,43,0
20883.85,1,0,1.31,0.39,0.91,0,26,1
21412.68,1,1,0.17,0.54,0.45,4,96,1
6081.28,0,1,3.3,0.54,0.72,16,61,0
48591.93,1,0,5.02,0.34,0.32,16,58,0
30517.26,0,0,2.86,0.91,0.28,1,52,0
24523.69,1,0,6.75,0.77,0.28,5,23,1
23568.0,1,0,8.18,0.81,0.19,5,79,1
2134.68,0,0,0.26,0.54,0.27,6,51,0
47032.11,0,0,8.39,0.69,0.75,17,22,0
27118.25,0,0,1.83,0.98,0.54,16,1,0
49813.06,1,0,8.84,0.23,0.31,18,47,1
42348.39,1,0,8.89,0.86,0.94,3,37,1
33482.51,0,0,9.41,0.97,0.32,13,81,0
24332.13,0,1,1.84,0.07,0.52,15,19,0
18386.79,1,0,3.15,0.57,0.53,21,21,0
12275.08,1,0,8.93,0.65,0.81,0,27,1
33479.31,1,0,5.04,0.59,0.78,16,43,1
47028.88,1,1,3.76,0.06,0.93,16,45,1
48336.08,1,1,3.02,0.42,0.86,2,17,1
27884.38,1,0,5.74,0.14,0.63,21,22,1
7090.19,0,1,7.43,0.71,0.72,15,38,1
14750.23,1,1,8.68,0.92,0.54,3,44,1
9794.27,0,0,0.6,0.89,0.08,1,65,0
21979.86,0,0,1.63,0.98,0.85,21,48,0
1963.67,1,0,1.36,0.55,0.78,11,4,0
22917.53,1,0,4.17,0.71,0.18,15,12,0
48479.89,1,0,4.05,0.46,0.76,4,89,1
48136.16,1,0,4.15,0.21,0.2,1,95,0
27506.41,1,0,2.87,0.96,0.75,4,21,1
36528.96,0,0,1.67,0.16,0.37,4,46,0
2132.37,1,0,4.79,0.14,0.52,6,99,0
8742.77,0,0,6.2,0.65,0.09,9,18,0
25206.5,1,0,1.71,0.12,0.66,16,91,0
29330.2,1,0,3.94,0.66,0.49,18,42,0
47079.09,0,1,9.06,0.24,0.12,13,1,1
2044.26,0,0,6.59,0.42,0.7,1,6,0
5996.42,0,0,8.79,0.75,0.81,3,9,0
21231.2,0,0,7.34,0.17,0.29,23,22,0
46544.79,1,0,7.53,0.77,0.15,16,61,1
24878.4,0,0,1.09,0.1,0.96,18,75,0
17809.77,1,0,4.88,0.52,0.13,4,98,0
30161.8,0,0,9.47,0.79,0.16,20,41,0
48714.99,1,0,7.4,0.57,0.72,14,75,1
34432.7,1,1,8.4,0.45,0.26,8,49,1
44605.66,0,0,2.41,0.6,0.87,21,16,0
47367.7,1,0,3.82,0.13,0.79,21,38,0
21268.68,1,0,4.98,0.06,0.5,19,91,0
38383.02,1,0,6.84,0.28,0.43,16,24,1
43443.1,0,1,0.22,0.97,0.09,20,79,0
26432.29,1,0,5.58,0.97,0.55,8,48,1
34817.86,0,0,5.88,0.91,0.09,11,73,0
47525.53,1,0,6.24,0.31,0.23,7,57,1
11546.8,0,0,2.67,0.48,0.08,8,32,0
20619.22,0,0,1.42,0.12,0.94,18,68,0
30709.42,0,1,8.67,0.09,0.08,0,64,1
24070.47,1,0,7.52,0.42,0.84,16,76,1
3269.24,0,0,0.24,0.12,0.71,4,94,0
37520.55,1,0,7.29,0.77,0.41,20,77,1
10331.76,0,0,2.15,0.88,0.77,1,91,0
13506.76,0,0,4.81,0.84,0.34,0,53,0
48401.89,0,0,5.94,0.51,0.45,4,84,0
32004.13,1,1,6.21,0.98,0.63,17,29,1
27785.3,0,0,5.52,0.48,0.91,22,50,0
34912.33,1,0,8.44,0.78,0.11,4,33,1
31078.2,0,0,5.84,0.37,0.56,22,54,0
29279.83,0,0,1.88,0.71,0.44,2,26,0
33411.13,0,0,0.5,0.21,0.31,21,20,0
27480.89,0,0,8.95,0.17,0.36,8,25,0
39990.58,0,0,8.75,0.92,0.11,3,0,1
4317.4,0,1,5.41,0.93,0.27,22,77,0
23180.48,1,0,2.6,0.73,0.9,13,17,1
22425.88,0,0,2.77,0.41,0.07,16,85,0
16442.12,0,1,5.98,0.7,0.8,12,17,1
4437.32,0,0,7.48,0.46,0.17,8,5,0
44992.41,0,0,5.03,0.36,0.94,20,21,0
11344.11,0,0,8.52,0.13,0.82,23,54,0
42131.47,0,0,7.0,1.0,0.9,19,91,1
45878.04,0,1,4.96,0.74,0.83,1,78,1
26798.33,0,1,2.13,0.97,0.73,19,96,1
36838.73,0,0,7.7,0.13,0.53,3,76,0
26676.21,0,0,1.43,0.11,0.99,12,39,0
40512.73,0,0,7.63,0.62,0.5,22,34,0
